"name","layout","mana_cost","cmc","colors","color_identity","names","type","supertypes","subtypes","types","rarity","text","flavor","artist","number","power","toughness","loyalty","multiverse_id","variations","watermark","border","timeshifted","hand","life","release_date","starter","printings","original_text","original_type","source","image_url","set","set_name","id","legalities","rulings","foreign_names"
"Basilica Bell-Haunt","normal","{W}{W}{B}{B}","4.0","['Black', 'White']","['B', 'W']","","Creature — Spirit","[]","['Spirit']","['Creature']","Uncommon","When Basilica Bell-Haunt enters the battlefield, each opponent discards a card and you gain 3 life.","You can hear their tolling only when your debt is due.","Yeong-Hao Han","156","3","4","","457300","","orzhov","","","","","","","['RNA']","When Basilica Bell-Haunt enters the battlefield, each opponent discards a card and you gain 3 life.","Creature — Spirit","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457300&type=card","RNA","Ravnica Allegiance","9abca062-a242-5597-b0a9-4672c60f8e29","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'You gain 3 life even if some or all of your opponents can’t discard a card.'}]","[]"
"Bedevil","normal","{B}{B}{R}","3.0","['Black', 'Red']","['B', 'R']","","Instant","[]","[]","['Instant']","Rare","Destroy target artifact, creature, or planeswalker.","""It's easy to get taken in by the spectacle, to enjoy a bit of naughty amusement. But make no mistake: the Cult of Rakdos is a danger.""
—Tajic","Seb McKinnon","157","","","","457301","","rakdos","","","","","","","['RNA']","Destroy target artifact, creature, or planeswalker.","Instant","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457301&type=card","RNA","Ravnica Allegiance","a1a4a9f7-5f1d-56e9-9f22-209403e0a9ed","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
"Biomancer's Familiar","normal","{G}{U}","2.0","['Green', 'Blue']","['G', 'U']","","Creature — Mutant","[]","['Mutant']","['Creature']","Rare","Activated abilities of creatures you control cost {2} less to activate. This effect can't reduce the amount of mana an ability costs to activate to less than one mana.
{T}: The next time target creature adapts this turn, it adapts as though it had no +1/+1 counters on it.","","Izzy","158","2","2","","457302","","simic","","","","","","","['RNA']","Activated abilities of creatures you control cost {2} less to activate. This effect can't reduce the amount of mana an ability costs to activate to less than one mana.
{T}: The next time target creature adapts this turn, it adapts as though it had no +1/+1 counters on it.","Creature — Mutant","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457302&type=card","RNA","Ravnica Allegiance","d85957e7-1361-5ff9-acd7-24bb44905a0b","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Activated abilities contain a colon. They’re generally written “[Cost]: [Effect].” Some keyword abilities are activated abilities and will have colons in their reminder text. Triggered abilities (starting with “when,” “whenever,” or “at”) are unaffected by the cost reduction ability of Biomancer’s Familiar.'}, {'date': '2019-01-25', 'text': 'Biomancer’s Familiar affects only abilities of creatures you control on the battlefield. The costs of activated abilities of creature cards that work in other zones (such as cycling) won’t be reduced.'}, {'date': '2019-01-25', 'text': 'An ability that has only one generic mana and some amount of other mana symbols in its activation cost will have its cost reduced by {1}.'}, {'date': '2019-01-25', 'text': 'The last ability of Biomancer’s Familiar doesn’t add or remove any counters. It just lets the creature adapt despite already having +1/+1 counters on it.'}]","[]"
"Bolrac-Clan Crusher","normal","{3}{R}{G}","5.0","['Green', 'Red']","['G', 'R']","","Creature — Ogre Warrior","[]","['Ogre', 'Warrior']","['Creature']","Uncommon","{T}, Remove a +1/+1 counter from a creature you control: Bolrac-Clan Crusher deals 2 damage to any target.","Jaharg discovered that the shapes and symmetries so pleasing to the sculptor's eye also yielded a well-balanced bludgeon.","Craig J Spearing","159","4","4","","457303","","gruul","","","","","","","['RNA']","{T}, Remove a +1/+1 counter from a creature you control: Bolrac-Clan Crusher deals 2 damage to any target.","Creature — Ogre Warrior","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457303&type=card","RNA","Ravnica Allegiance","6ebc7824-8662-50a2-9d7c-93aafd7bd697","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'You must remove exactly one +1/+1 counter from a creature you control to activate Bolrac-Clan Crusher’s ability; you can’t activate it without removing a +1/+1 counter, and you can’t remove additional counters.'}]","[]"
"Captive Audience","normal","{5}{B}{R}","7.0","['Black', 'Red']","['B', 'R']","","Enchantment","[]","[]","['Enchantment']","Mythic","Captive Audience enters the battlefield under the control of an opponent of your choice.
At the beginning of your upkeep, choose one that hasn't been chosen —
• Your life total becomes 4.
• Discard your hand.
• Each opponent creates five 2/2 black Zombie creature tokens.","","Dmitry Burmak","160","","","","457304","","rakdos","","","","","","","['RNA']","Captive Audience enters the battlefield under the control of an opponent of your choice.
At the beginning of your upkeep, choose one that hasn't been chosen —
• Your life total becomes 4.
• Discard your hand.
• Each opponent creates five 2/2 black Zombie creature tokens.","Enchantment","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457304&type=card","RNA","Ravnica Allegiance","404fad81-c165-5dbc-b7b8-e1d7d5739491","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Once Captive Audience is controlled by your opponent, its ability triggers during that player’s upkeep and that player makes all choices for it. That player is affected by its first two modes, and that player’s opponents create the tokens for its last mode.'}, {'date': '2019-01-25', 'text': 'For a player’s life total to become 4, that player gains or loses the appropriate amount of life. For example, if a player’s life total is 20, Captive Audience will cause that player to lose 16 life; alternatively, if their life total is 1, it will cause them to gain 3 life. Other cards that interact with life gain or life loss will interact with this effect accordingly.'}, {'date': '2019-01-25', 'text': 'You may choose Captive Audience’s first mode even if your life total is already 4. Similarly, you may choose its second mode even if you have no cards in hand.'}, {'date': '2019-01-25', 'text': 'If all three modes have been chosen, Captive Audience’s triggered ability is removed from the stack with no effect, but Captive Audience remains on the battlefield.'}, {'date': '2019-01-25', 'text': 'In a Two-Headed Giant game, Captive Audience’s first mode causes its controller to gain or lose life so that their team’s life total becomes 4.'}, {'date': '2019-01-25', 'text': 'In a multiplayer game, if Captive Audience’s owner leaves the game, Captive Audience leaves the game with them. If Captive Audience’s controller leaves the game, Captive Audience is exiled (assuming that player wasn’t also Captive Audience’s owner).'}]","[]"
"Cindervines","normal","{R}{G}","2.0","['Green', 'Red']","['G', 'R']","","Enchantment","[]","[]","['Enchantment']","Rare","Whenever an opponent casts a noncreature spell, Cindervines deals 1 damage to that player.
{1}, Sacrifice Cindervines: Destroy target artifact or enchantment. Cindervines deals 2 damage to that permanent's controller.","","Mark Behm","161","","","","457305","","gruul","","","","","","","['RNA']","Whenever an opponent casts a noncreature spell, Cindervines deals 1 damage to that player.
{1}, Sacrifice Cindervines: Destroy target artifact or enchantment. Cindervines deals 2 damage to that permanent's controller.","Enchantment","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457305&type=card","RNA","Ravnica Allegiance","d063436e-4d57-5ff3-8d99-a6514df906cf","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Cindervines’s triggered ability resolves before the spell that caused it to trigger. It resolves even if that spell is countered.'}, {'date': '2019-01-25', 'text': 'If the target permanent is an illegal target by the time Cindervines’s activated ability tries to resolve, the ability doesn’t resolve. No player is dealt damage. If the target is legal but not destroyed (most likely because it has indestructible), its controller is dealt damage.'}, {'date': '2019-01-25', 'text': 'Cindervines can be the target of its own activated ability. The ability won’t resolve since it won’t have a legal target, and no player will be dealt damage, but this does allow you to sacrifice Cindervines without another enchantment to target if you want to.'}]","[]"
"Clan Guildmage","normal","{R}{G}","2.0","['Green', 'Red']","['G', 'R']","","Creature — Human Shaman","[]","['Human', 'Shaman']","['Creature']","Uncommon","{1}{R}, {T}: Target creature can't block this turn.
{2}{G}, {T}: Target land you control becomes a 4/4 Elemental creature with haste until end of turn. It's still a land.","","Tomasz Jedruszek","162","2","2","","457306","","gruul","","","","","","","['RNA']","{1}{R}, {T}: Target creature can't block this turn.
{2}{G}, {T}: Target land you control becomes a 4/4 Elemental creature with haste until end of turn. It's still a land.","Creature — Human Shaman","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457306&type=card","RNA","Ravnica Allegiance","ebe2deba-f807-5950-a78a-2e279ea93ee4","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Activating Clan Guildmage’s first ability after a creature has blocked won’t remove the blocking creature from combat or cause the creature it blocked to become unblocked.'}, {'date': '2019-01-25', 'text': 'Clan Guildmage’s second ability doesn’t untap the land that becomes a creature.'}]","[]"
"Combine Guildmage","normal","{G}{U}","2.0","['Green', 'Blue']","['G', 'U']","","Creature — Merfolk Wizard","[]","['Merfolk', 'Wizard']","['Creature']","Uncommon","{1}{G}, {T}: This turn, each creature you control enters the battlefield with an additional +1/+1 counter on it.
{1}{U}, {T}: Move a +1/+1 counter from target creature you control onto another target creature you control.","","Yeong-Hao Han","163","2","2","","457307","","simic","","","","","","","['RNA']","{1}{G}, {T}: This turn, each creature you control enters the battlefield with an additional +1/+1 counter on it.
{1}{U}, {T}: Move a +1/+1 counter from target creature you control onto another target creature you control.","Creature — Merfolk Wizard","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457307&type=card","RNA","Ravnica Allegiance","e07c6081-88e5-5f03-b261-0a252dc633dd","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'If a creature would normally enter the battlefield with no +1/+1 counters on it, Combine Guildmage’s first ability causes it to enter the battlefield with a +1/+1 counter on it.'}, {'date': '2019-01-25', 'text': 'If the first target creature for Combine Guildmage’s second ability has no +1/+1 counters on it as the ability resolves, nothing happens. The second target creature doesn’t get a +1/+1 counter.'}, {'date': '2019-01-25', 'text': 'If either target creature is an illegal target by the time Combine Guildmage’s second ability tries to resolve, nothing happens. No creature loses or gets a +1/+1 counter.'}]","[]"
"Cult Guildmage","normal","{B}{R}","2.0","['Black', 'Red']","['B', 'R']","","Creature — Human Shaman","[]","['Human', 'Shaman']","['Creature']","Uncommon","{3}{B}, {T}: Target player discards a card. Activate this ability only any time you could cast a sorcery.
{R}, {T}: Cult Guildmage deals 1 damage to target opponent or planeswalker.","","Victor Adame Minguez","164","2","2","","457308","","rakdos","","","","","","","['RNA']","{3}{B}, {T}: Target player discards a card. Activate this ability only any time you could cast a sorcery.
{R}, {T}: Cult Guildmage deals 1 damage to target opponent or planeswalker.","Creature — Human Shaman","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457308&type=card","RNA","Ravnica Allegiance","3c5675b7-f2c3-5949-8bde-1b6818760a2f","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
"Deputy of Detention","normal","{1}{W}{U}","3.0","['Blue', 'White']","['U', 'W']","","Creature — Vedalken Wizard","[]","['Vedalken', 'Wizard']","['Creature']","Rare","When Deputy of Detention enters the battlefield, exile target nonland permanent an opponent controls and all other nonland permanents that player controls with the same name as that permanent until Deputy of Detention leaves the battlefield.","","G-host Lee","165","1","3","","457309","","azorius","","","","","","","['RNA']","When Deputy of Detention enters the battlefield, exile target nonland permanent an opponent controls and all other nonland permanents that player controls with the same name as that permanent until Deputy of Detention leaves the battlefield.","Creature — Vedalken Wizard","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457309&type=card","RNA","Ravnica Allegiance","ffc8570d-174d-5722-aa8a-76835c7c4ab7","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'This ability has only one target. The other permanents with that name aren’t targeted. For example, a permanent with hexproof will be exiled if it has the same name as the target nonland permanent.'}, {'date': '2019-01-25', 'text': 'If the target nonland permanent is an illegal target by the time this ability tries to resolve, the ability doesn’t resolve. Nothing is exiled.'}, {'date': '2019-01-25', 'text': 'If Deputy of Detention leaves the battlefield before its triggered ability resolves, nothing is exiled.'}, {'date': '2019-01-25', 'text': 'Auras attached to the exiled permanents will be put into their owners’ graveyards. Any Equipment will become unattached and remain on the battlefield. Any counters on the exiled permanents will cease to exist.'}, {'date': '2019-01-25', 'text': 'If a token is exiled this way, it will cease to exist and won’t return to the battlefield.'}, {'date': '2019-01-25', 'text': 'The name of a creature token is the same as the creature types specified as it was created, unless the token is a copy of another creature or the effect that created the token specifically gives it a different name.'}, {'date': '2019-01-25', 'text': 'A face-down creature has no name, so it can’t share a name with anything. This includes other creatures with no name.'}]","[]"
"Domri, Chaos Bringer","normal","{2}{R}{G}","4.0","['Green', 'Red']","['G', 'R']","","Legendary Planeswalker — Domri","['Legendary']","['Domri']","['Planeswalker']","Mythic","+1: Add {R} or {G}. If that mana is spent on a creature spell, it gains riot. (It enters the battlefield with your choice of a +1/+1 counter or haste.)
−3: Look at the top four cards of your library. You may reveal up to two creature cards from among them and put them into your hand. Put the rest on the bottom of your library in a random order.
−8: You get an emblem with ""At the beginning of each end step, create a 4/4 red and green Beast creature token with trample.""","","Zack Stella","166","","","5","457310","","","","","","","","","['MED', 'RNA']","+1: Add {R} or {G}. If that mana is spent on a creature spell, it gains riot.
−3: Look at the top four cards of your library. You may reveal up to two creature cards from among them and put them into your hand. Put the rest on the bottom of your library in a random order.
−8: You get an emblem with ""At the beginning of each end step, create a 4/4 red and green Beast creature token with trample.""","Legendary Planeswalker — Domri","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457310&type=card","RNA","Ravnica Allegiance","2597a358-0721-5718-aeea-28516fddffe5","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Because it’s a loyalty ability, Domri’s first ability isn’t a mana ability. It can be activated only any time you could cast a sorcery. It uses the stack and can be responded to.'}, {'date': '2019-01-25', 'text': 'Riot is a replacement effect. Players can’t respond to your choice of +1/+1 counter or haste, and they can’t take actions while the creature is on the battlefield without one or the other.'}, {'date': '2019-01-25', 'text': 'If a creature entering the battlefield has riot but can’t have a +1/+1 counter put onto it, it gains haste.'}, {'date': '2019-01-25', 'text': 'If you choose for the creature to gain haste, it gains haste indefinitely. It won’t lose it as the turn ends or as another player gains control of it.'}, {'date': '2019-01-25', 'text': 'If a creature enters the battlefield with two instances of riot, you may choose to have it get two +1/+1 counters, one +1/+1 counter and haste, or two instances of haste. Multiple instances of haste on the same creature are redundant, but we’re not going to tell the Gruul how to live their lives.'}]","[]"
"Dovin, Grand Arbiter","normal","{1}{W}{U}","3.0","['Blue', 'White']","['U', 'W']","","Legendary Planeswalker — Dovin","['Legendary']","['Dovin']","['Planeswalker']","Mythic","+1: Until end of turn, whenever a creature you control deals combat damage to a player, put a loyalty counter on Dovin, Grand Arbiter.
−1: Create a 1/1 colorless Thopter artifact creature token with flying. You gain 1 life.
−7: Look at the top ten cards of your library. Put three of them into your hand and the rest on the bottom of your library in a random order.","","Kieran Yanner","167","","","3","457311","","","","","","","","","['RNA']","+1: Until end of turn, whenever a creature you control deals combat damage to a player, put a loyalty counter on Dovin, Grand Arbiter.
−1: Create a 1/1 colorless Thopter artifact creature token with flying. You gain 1 life.
−7: Look at the top ten cards of your library. Put three of them into your hand and the rest on the bottom of your library in a random order.","Legendary Planeswalker — Dovin","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457311&type=card","RNA","Ravnica Allegiance","67885411-7d39-57b2-9128-87a344ac1322","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'The delayed triggered ability created by Dovin’s first ability triggers for each creature you control that deals combat damage to a player this turn. Dovin gets only one loyalty counter as each ability resolves, no matter how much damage was dealt.'}, {'date': '2019-01-25', 'text': 'If you have fewer than ten cards in your library as Dovin’s last ability resolves, look at however many cards you have, put three of them into your hand (or all of them if you have fewer than three cards in your library), and then put the rest back in a random order.'}]","[]"
"Dovin's Acuity","normal","{1}{W}{U}","3.0","['Blue', 'White']","['U', 'W']","","Enchantment","[]","[]","['Enchantment']","Uncommon","When Dovin's Acuity enters the battlefield, you gain 2 life and draw a card.
Whenever you cast an instant spell during your main phase, you may return Dovin's Acuity to its owner's hand.","Dovin ticked the Planeswalkers off on his fingers: himself, Domri, Kaya, Ral, Vraska...and Bolas made an even six.","Bastien L. Deharme","168","","","","457312","","","","","","","","","['RNA']","When Dovin's Acuity enters the battlefield, you gain 2 life and draw a card.
Whenever you cast an instant spell during your main phase, you may return Dovin's Acuity to its owner's hand.","Enchantment","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457312&type=card","RNA","Ravnica Allegiance","a03d99c3-60cd-54c4-afb6-8ccd8818ac80","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'The second ability of Dovin’s Acuity resolves before the spell that caused it to trigger. It resolves even if that spell is countered.'}, {'date': '2019-01-25', 'text': 'The second ability of Dovin’s Acuity triggers only if it’s on the battlefield. It won’t return from your graveyard.'}]","[]"
"Emergency Powers","normal","{5}{W}{U}","7.0","['Blue', 'White']","['U', 'W']","","Instant","[]","[]","['Instant']","Mythic","Each player shuffles their hand and graveyard into their library, then draws seven cards. Exile Emergency Powers.
Addendum — If you cast this spell during your main phase, you may put a permanent card with converted mana cost 7 or less from your hand onto the battlefield.","","Chris Rallis","169","","","","457313","","planeswalker","","","","","","","['RNA']","Each player shuffles their hand and graveyard into their library, then draws seven cards. Exile Emergency Powers.
Addendum — If you cast this spell during your main phase, you may put a permanent card with converted mana cost 7 or less from your hand onto the battlefield.","Instant","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457313&type=card","RNA","Ravnica Allegiance","08fb5c9e-fb4f-53df-910d-5ad220ad3a32","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'If a card in your hand has {X} in its mana cost, X is considered to be 0.'}, {'date': '2019-01-25', 'text': 'Addendum abilities of instant spells apply while the spell is resolving, not immediately after casting it. If the spell is countered, you don’t get the addendum bonus. For example, if you cast Sphinx’s Insight during your main phase, you gain 2 life during its resolution, after you draw two cards.'}, {'date': '2019-01-25', 'text': 'If a spell with an addendum ability is copied, the copy won’t give you the addendum bonus. This is because the copy wasn’t cast at all.'}]","[]"
"Ethereal Absolution","normal","{4}{W}{B}","6.0","['Black', 'White']","['B', 'W']","","Enchantment","[]","[]","['Enchantment']","Rare","Creatures you control get +1/+1.
Creatures your opponents control get -1/-1.
{2}{W}{B}: Exile target card from an opponent's graveyard. If it was a creature card, you create a 1/1 white and black Spirit creature token with flying.","""Time to let the dead be dead.""
—Kaya, to Teysa","Eric Deschamps","170","","","","457314","","","","","","","","","['RNA']","Creatures you control get +1/+1.
Creatures your opponents control get -1/-1.
{2}{W}{B}: Exile target card from an opponent's graveyard. If it was a creature card, you create a 1/1 white and black Spirit creature token with flying.","Enchantment","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457314&type=card","RNA","Ravnica Allegiance","d25d7abb-4886-5d22-aaaa-2293adc73355","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
"Final Payment","normal","{W}{B}","2.0","['Black', 'White']","['B', 'W']","","Instant","[]","[]","['Instant']","Common","As an additional cost to cast this spell, pay 5 life or sacrifice a creature or enchantment.
Destroy target creature.","There's nothing quite like the feeling of paying off a large debt.","Victor Adame Minguez","171","","","","457315","","orzhov","","","","","","","['RNA']","As an additional cost to cast this spell, pay 5 life or sacrifice a creature or enchantment.
Destroy target creature.","Instant","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457315&type=card","RNA","Ravnica Allegiance","3e0f2a74-a9e3-53f8-86d6-d5804a8ad91e","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
"Fireblade Artist","normal","{B}{R}","2.0","['Black', 'Red']","['B', 'R']","","Creature — Human Shaman","[]","['Human', 'Shaman']","['Creature']","Uncommon","Haste
At the beginning of your upkeep, you may sacrifice a creature. When you do, Fireblade Artist deals 2 damage to target opponent or planeswalker.","""Let's find out what kind of audience you are. Festive? Fearless?""","Steve Argyle","172","2","2","","457316","","rakdos","","","","","","","['RNA']","Haste
At the beginning of your upkeep, you may sacrifice a creature. When you do, Fireblade Artist deals 2 damage to target opponent or planeswalker.","Creature — Human Shaman","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457316&type=card","RNA","Ravnica Allegiance","4ce17f8f-824c-5936-aa4f-b6026650b59b","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Fireblade Artist’s triggered ability goes on the stack without a target. While that ability is resolving, you may sacrifice a creature. When you do, the reflexive triggered ability triggers and you pick a target opponent or planeswalker to be dealt damage. This is different from effects that say “If you do . . .” in that players may take actions after you’ve sacrificed the creature but before damage is dealt.'}]","[]"
"Frenzied Arynx","normal","{2}{R}{G}","4.0","['Green', 'Red']","['G', 'R']","","Creature — Cat Beast","[]","['Cat', 'Beast']","['Creature']","Common","Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Trample
{4}{R}{G}: Frenzied Arynx gets +3/+0 until end of turn.","","Filip Burburan","173","3","3","","457317","","gruul","","","","","","","['RNA']","Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Trample
{4}{R}{G}: Frenzied Arynx gets +3/+0 until end of turn.","Creature — Cat Beast","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457317&type=card","RNA","Ravnica Allegiance","b34f691d-c85e-5a41-b1ad-9445d51f1f59","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Riot is a replacement effect. Players can’t respond to your choice of +1/+1 counter or haste, and they can’t take actions while the creature is on the battlefield without one or the other.'}, {'date': '2019-01-25', 'text': 'If a creature entering the battlefield has riot but can’t have a +1/+1 counter put onto it, it gains haste.'}, {'date': '2019-01-25', 'text': 'If you choose for the creature to gain haste, it gains haste indefinitely. It won’t lose it as the turn ends or as another player gains control of it.'}]","[]"
"Frilled Mystic","normal","{G}{G}{U}{U}","4.0","['Green', 'Blue']","['G', 'U']","","Creature — Elf Lizard Wizard","[]","['Elf', 'Lizard', 'Wizard']","['Creature']","Uncommon","Flash
When Frilled Mystic enters the battlefield, you may counter target spell.","""Your arrival was expected...and unwelcome.""","Randy Vargas","174","3","2","","457318","","simic","","","","","","","['RNA']","Flash
When Frilled Mystic enters the battlefield, you may counter target spell.","Creature — Elf Lizard Wizard","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457318&type=card","RNA","Ravnica Allegiance","524e318b-4f60-5556-8b0b-45e75b411a47","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
"Galloping Lizrog","normal","{3}{G}{U}","5.0","['Green', 'Blue']","['G', 'U']","","Creature — Frog Lizard","[]","['Frog', 'Lizard']","['Creature']","Uncommon","Trample
When Galloping Lizrog enters the battlefield, you may remove any number of +1/+1 counters from among creatures you control. If you do, put twice that many +1/+1 counters on Galloping Lizrog.","""I might have overfed him.""
—Gulistan, Simic biomancer","Lius Lasahido","175","3","3","","457319","","simic","","","","","","","['RNA']","Trample
When Galloping Lizrog enters the battlefield, you may remove any number of +1/+1 counters from among creatures you control. If you do, put twice that many +1/+1 counters on Galloping Lizrog.","Creature — Frog Lizard","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457319&type=card","RNA","Ravnica Allegiance","f5d4a1c8-2134-55fa-a683-ab3a486eb637","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'You remove counters and put new ones on Galloping Lizrog all while its ability is resolving. Nothing can happen between the two, and no player may choose to take actions.'}, {'date': '2019-01-25', 'text': 'If Galloping Lizrog leaves the battlefield after its ability has triggered, you may remove any number of +1/+1 counters from among your creatures, even though you won’t put any on Galloping Lizrog.'}, {'date': '2019-01-25', 'text': 'If an effect causes Galloping Lizrog to enter the battlefield with +1/+1 counters on it, you may remove those counters with its triggered ability and put twice as many back on it.'}]","[]"
"Get the Point","normal","{3}{B}{R}","5.0","['Black', 'Red']","['B', 'R']","","Instant","[]","[]","['Instant']","Common","Destroy target creature. Scry 1.","""Vraska sees the grandeur in death but misses the hilarity.""
—Judith","Steve Argyle","176","","","","457320","","rakdos","","","","","","","['RNA']","Destroy target creature. Scry 1.","Instant","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457320&type=card","RNA","Ravnica Allegiance","00c174b9-93c1-542b-a70b-15722b6df5df","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'If the chosen target becomes an illegal target for Get the Point, the spell doesn’t resolve. You don’t scry 1. If the target is legal but not destroyed (most likely because it has indestructible), you do scry 1.'}]","[]"
"Grasping Thrull","normal","{3}{W}{B}","5.0","['Black', 'White']","['B', 'W']","","Creature — Thrull","[]","['Thrull']","['Creature']","Common","Flying
When Grasping Thrull enters the battlefield, it deals 2 damage to each opponent and you gain 2 life.","""Debt due! Debt due!"" The thrull's screeching makes children flinch and debtors quail. ""Debt due!""","Seb McKinnon","177","3","3","","457321","","orzhov","","","","","","","['RNA']","Flying
When Grasping Thrull enters the battlefield, it deals 2 damage to each opponent and you gain 2 life.","Creature — Thrull","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457321&type=card","RNA","Ravnica Allegiance","49ddd30d-0505-50a5-b63c-5ef289e3418b","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'In a Two-Headed Giant game, Grasping Thrull’s second ability causes the opposing team to lose 4 life and you gain 2 life.'}]","[]"
"Growth Spiral","normal","{G}{U}","2.0","['Green', 'Blue']","['G', 'U']","","Instant","[]","[]","['Instant']","Common","Draw a card. You may put a land card from your hand onto the battlefield.","Cyclical and spiral patterns are the specialty of the Gyre Clade, which seeks to revitalize the cycles of nature.","Seb McKinnon","178","","","","457322","","simic","","","","","","","['PRNA', 'RNA']","Draw a card. You may put a land card from your hand onto the battlefield.","Instant","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457322&type=card","RNA","Ravnica Allegiance","61a314f6-d7d5-5b3a-a48a-dcfd152747bf","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Growth Spiral’s effect doesn’t count as playing a land. It can put a land card onto the battlefield even if it’s not your turn or if you’ve already played your land for the turn.'}]","[]"
"Gruul Spellbreaker","normal","{1}{R}{G}","3.0","['Green', 'Red']","['G', 'R']","","Creature — Ogre Warrior","[]","['Ogre', 'Warrior']","['Creature']","Rare","Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Trample
As long as it's your turn, you and Gruul Spellbreaker have hexproof.","She displays her scars with pride.","Zoltan Boros","179","3","3","","457323","","gruul","","","","","","","['RNA']","Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Trample
As long as it's your turn, you and Gruul Spellbreaker have hexproof.","Creature — Ogre Warrior","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457323&type=card","RNA","Ravnica Allegiance","9923611f-cdd9-50e7-a489-d8765f29aa48","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Riot is a replacement effect. Players can’t respond to your choice of +1/+1 counter or haste, and they can’t take actions while the creature is on the battlefield without one or the other.'}, {'date': '2019-01-25', 'text': 'If a creature entering the battlefield has riot but can’t have a +1/+1 counter put onto it, it gains haste.'}, {'date': '2019-01-25', 'text': 'If you choose for the creature to gain haste, it gains haste indefinitely. It won’t lose it as the turn ends or as another player gains control of it.'}]","[]"
